id;cpf;identification;birth_date;description;price;time_session;specialist_type
1;blah quixotic next;ah disturb pish;2024-05-27T21:06:32;fooey mispronounce;15834.81;15199;ALUNO
2;meanwhile;hopelessly;2024-05-27T20:43:09;how vaguely;26183.29;30145;ALUNO
3;whoa shoplift;capital bah;2024-05-26T22:44:30;silky jealously;20910.85;16091;SUPERVISOR
4;whereas blab;clearly gloss psst;2024-05-27T06:01:37;against;27866.87;10242;ALUNO
5;sans likely;ew cheap;2024-05-27T12:31:11;enervate;15951.08;8676;ALUNO
6;chuckle blanket;gadzooks;2024-05-27T00:42:19;for boo;20743.02;3367;SUPERVISOR
7;forthright;sardonic necessary and;2024-05-27T00:39:05;ah degrade;30832.32;18537;SUPERVISOR
8;famously annihilate pickax;smart;2024-05-27T15:31:06;aside furthermore;25542.57;27029;ALUNO
9;supply constraint;phooey commonly mmm;2024-05-27T03:02:44;evening-wear instead atomise;21413.78;19876;SUPERVISOR
10;guest;pfft when since;2024-05-26T23:58:57;indeed railing unless;11550.76;14090;ALUNO
